ID;Name;Geschlecht;Entdecken;Anlass;Jahreszeit;Dufttyp;Beschreibung;Link
ARES;ARES (Limited Edition);Unisex;Topliste, Trends;Freizeit, Ausgehen, Date;Herbst, Winter;Würzig, Orientalisch, Ledrig, Holzig, Harzig;Ein warmer, kraftvoller Duft, der Stärke und Leidenschaft verkörpert. Ares entfaltet sich mit würziger Frische und mündet in eine tiefe, ledrig-ambrierte Basis.;https://www.chogangroupspa.com/product_referral/9903/ROD2B753D
44;44 Frozen Crest;Unisex;-;Freizeit, Arbeit;Frühling, Sommer;Frisch, Zitrus, Aquatisch, Grün, Fruchtig;Ein positiver, ausgeglichener Duft, der an kristallklares Wasser aus den Alpen erinnert.;https://www.chogangroupspa.com/product_referral/9041/ROD2B753D
155U;155U True Self;Unisex;-;Freizeit, Arbeit;Frühling, Sommer;Frisch, Zitrus, Aquatisch, Blumig;Ein minimalistischer, androgyner Duft, inspiriert von Gleichberechtigung, der zwischenmenschliche Beziehungen und Austausch feiert.;https://www.chogangroupspa.com/product_referral/10978/ROD2B753D
54;54 Night Flower;Unisex;-;Date, Ausgehen;Herbst, Winter;Blumig, Orientalisch, Süß, Würzig;Ein opulenter Duft mit warmen, dunklen Noten und einer Orchideenherznote für anspruchsvolle Persönlichkeiten.;https://www.chogangroupspa.com/product_referral/8773/ROD2B753D
72;72 Earth Memory;Unisex;-;Date, Ausgehen, Freizeit;Herbst, Winter;Erdig, Würzig, Holzig, Harzig, Orientalisch;Ein vielseitiges Parfüm für Männer und Frauen, das Freiheit und Boheme-Eleganz ausstrahlt.;https://www.chogangroupspa.com/product_referral/1875/ROD2B753D
73;73 The Summit;Unisex;-;Arbeit, Freizeit;Frühling, Sommer;Frisch, Würzig, Zitrus, Holzig;Ein Duft aus warmen Holznoten, Frischen Zitrusfrüchten und sinnlichem Moschus, der Dynamik und Stärke verkörpert.;https://www.chogangroupspa.com/product_referral/2123/ROD2B753D
99;99 Orange Sun;Unisex;Topliste;Arbeit, Freizeit;Frühling, Sommer;Frisch, Zitrus, Aquatisch, Fruchtig;Ein Duft, der die Zitrusfrüchte und Natur der Amalfiküste in eine spritzige, magische Komposition verwandelt.;https://www.chogangroupspa.com/product_referral/9109/ROD2B753D
100;100 Mystic Woods;Unisex;-;Ausgehen, Freizeit, Date;Herbst, Winter, Frühling;Blumig, Holzig, Orientalisch, Süß, Würzig;Ein Duft aus der Zartheit der Rose, Gewürzen, Agarholz, Ambra, Sandelholz und einem Hauch Vanille.;https://www.chogangroupspa.com/product_referral/3638/ROD2B753D
101;101 Soft Caress;Unisex;-;Ausgehen, Freizeit, Date;Herbst, Winter, Frühling;Würzig, Pudrig, Süß, Orientalisch, Harzig, Holzig;Ein Orientalischer Amber-Duft, der mediterrane und arabische Noten vereint.;https://www.chogangroupspa.com/product_referral/3643/ROD2B753D
102;102 Soft Rays;Unisex;-;Ausgehen, Freizeit, Date;Herbst, Winter;Harzig, Würzig, Süß, Rauchig, Orientalisch, Holzig;Ein moderner, raffinierter Amber-Duft mit exotischem Ylang-Ylang, Vanille, Ladanharz, Sandelholz und einer Basis aus Harzen.;https://www.chogangroupspa.com/product_referral/3644/ROD2B753D
105;105 Expresso;Unisex;Topliste;Ausgehen, Freizeit, Date;Herbst, Winter, Frühling;Blumig, Süß, Gourmand, Orientalisch, Würzig, Holzig;Ein Duft mit Blumigen Akzenten, einer Herznote aus Rose und schwarzem Arabica-Kaffee, abgerundet von Ambra, Vanille und weißem Moschus.;https://www.chogangroupspa.com/product_referral/8775/ROD2B753D
